train	direction	days	taipei	banqiao	taoyuan	hsinchu	taichung	chiayi	tainan	zuoying
0749	south	1,2,3,4,5,6,7	20:00	20:08	20:21	20:33	21:01	21:26	21:45	22:00
1751	south	          5,6	20:18	20:26	20:39	20:51	21:19	21:44	22:03	22:18
0251	south	1,2,3,4,5,6,7	20:30	20:38	-	-	21:22	-	-	22:06
0753	south	1,2,3,4,5,6,7	20:36	20:44	20:57	21:10	21:38	22:02	22:21	22:36
0255	south	1,2,3,4,5,6,7	20:54	21:02	-	-	21:46	-	-	22:30
0757	south	1,2,3,4,5,6,7	21:00	21:08	21:21	21:33	22:01	22:26	22:45	23:00
0259	south	1,2,3,4,5,6,7	21:30	21:38	-	-	22:22	-	-	23:06
0761	south	1,2,3,4,5,6,7	21:36	21:44	21:57	22:10	22:38	23:02	23:21	23:36
0763	south	1,2,3,4,5,6,7	21:54	22:02	22:15	22:27	22:55	23:20	23:39	23:54
0399	south	1,2,3,4,5,6,7	22:12	-	22:31	-	23:04	23:28	23:46	23:59
0541	south	1,2,3,4,5,6,7	22:30	22:38	22:52	23:03	23:30	-	-	-
0545	south	1,2,3,4,5,6,7	23:00	23:08	23:22	23:33	23:59	-	-	-
0502	north	1,2,3,4,5,6,7	07:30	07:23	07:09	06:57	06:30	-	-	-
0506	north	1,2,3,4,5,6,7	08:00	07:53	07:39	07:27	07:00	-	-	-
1508	north	      2,3,4,5	08:12	08:05	07:51	07:39	07:12	-	-	-
1352	north	            1	08:12	08:05	07:51	07:39	07:12	-	-	06:24
0302	north	1,2,3,4,5,6,7	08:18	08:11	-	-	07:28	07:03	06:43	06:30
0604	north	1,2,3,4,5,6,7	08:36	08:29	08:16	08:04	07:37	07:11	06:51	06:36
1304	north	            1	08:30	08:22	-	-	07:41	07:17	06:57	06:42
1510	north	    1,2,3,4,5	08:48	08:41	08:27	08:15	07:48	-	-	-
0608	north	1,2,3,4,5,6,7	09:00	08:53	08:40	08:28	08:01	07:36	07:15	07:00
0110	north	1,2,3,4,5,6,7	09:06	08:58	-	-	08:15	-	-	07:30
0612	north	1,2,3,4,5,6,7	09:36	09:29	09:16	09:03	08:35	08:09	07:49	07:36
0114	north	1,2,3,4,5,6,7	09:30	09:22	-	-	08:39	-	-	07:54
0616	north	1,2,3,4,5,6,7	10:00	09:53	09:40	09:28	09:01	08:36	08:15	08:00
1618	north	          6,7	10:18	10:11	09:58	09:46	09:19	08:54	08:33	08:18
0118	north	1,2,3,4,5,6,7	10:06	09:58	-	-	09:15	-	-	08:30
0620	north	1,2,3,4,5,6,7	10:36	10:29	10:16	10:03	09:35	09:09	08:49	08:36
0122	north	1,2,3,4,5,6,7	10:30	10:22	-	-	09:39	-	-	08:54
0624	north	1,2,3,4,5,6,7	11:00	10:53	10:40	10:28	10:01	09:36	09:15	09:00
0126	north	1,2,3,4,5,6,7	11:06	10:58	-	-	10:15	-	-	09:30
0628	north	1,2,3,4,5,6,7	11:36	11:29	11:16	11:03	10:35	10:09	09:49	09:36
0130	north	1,2,3,4,5,6,7	11:30	11:22	-	-	10:39	-	-	09:54
0632	north	1,2,3,4,5,6,7	12:00	11:53	11:40	11:28	11:01	10:36	10:15	10:00
0134	north	1,2,3,4,5,6,7	12:06	11:58	-	-	11:15	-	-	10:30
0636	north	1,2,3,4,5,6,7	12:36	12:29	12:16	12:03	11:35	11:09	10:49	10:36
0138	north	1,2,3,4,5,6,7	12:30	12:22	-	-	11:39	-	-	10:54
0640	north	1,2,3,4,5,6,7	13:00	12:53	12:40	12:28	12:01	11:36	11:15	11:00
0142	north	1,2,3,4,5,6,7	13:06	12:58	-	-	12:15	-	-	11:30
0644	north	1,2,3,4,5,6,7	13:36	13:29	13:16	13:03	12:35	12:09	11:49	11:36
